keyword,score,category
app,0.82,generic
every,0.81,generic
view,0.81,generic
medical,0.79,domain
get,0.79,generic
information,0.79,generic
use,0.78,generic
health,0.78,domain
features,0.77,generic
time,0.77,generic
products,0.77,neutral
find,0.76,generic
care,0.76,domain
available,0.76,generic
medicines,0.75,domain
access,0.75,generic
free,0.75,generic
pharmacy,0.74,domain
b,0.74,generic
subscription,0.73,generic
need,0.73,generic
content,0.73,neutral
track,0.73,neutral
online,0.73,generic
offline,0.72,generic
store,0.72,generic
data,0.72,generic
one,0.72,generic
patient,0.72,domain
maps,0.72,generic
exams,0.72,domain
healthcare,0.71,domain
test,0.71,neutral
medicine,0.71,domain
learning,0.71,domain
us,0.71,generic
like,0.71,generic
including,0.71,neutral
exam,0.71,domain
help,0.7,generic
anatomy,0.7,domain
drug,0.7,domain
management,0.7,domain
prescription,0.7,domain
list,0.7,neutral
make,0.7,generic
tools,0.69,neutral
tracking,0.68,domain
hotels,0.68,generic
search,0.68,neutral
