appId,title,description,genre,score,installs,developer
com.minerva_medical.minerva,Full Code Medical Simulation,"Want to learn more about medicine? Practice treating virtual patients while earning CME credit with Full Code. Full Code is an intuitive, mobile-first simulation designed by medical experts, with over 200 realistic virtual cases and an engaging, gamelike interface. Choose from hundreds of possible actions in each case as you diagnose and treat acutely sick patients in this open-ended simulation.

Whether you need to get through your first year of medical school, prepare for residency, or simply learn something new, Full Code can deliver the practice you need today to become a better medical professional in the future. With our AI-powered tutor, you can learn step-by-step how to diagnose and treat patients. Play a Full Code case to try it out today. 

Features:
• 200+ cases written & peer-reviewed by expert clinician educators
• Over 30 diagnostic categories, focused on Emergency Medicine
• Generative AI-powered patient conversations and tutor
• Guided case walkthroughs
• 4 realistic, immersive 3D environments
• 23 diverse patient avatars, including pediatric and adult patients
• Full score and debrief for each case
• Created by doctors, for medical students and professionals

PRACTICE MEDICAL SIMULATION ON THE GO
Full Code’s on-demand simulation training with realistic virtual patients allows busy learners and medical professionals to practice complex cases and improve their skills whenever they get a break, wherever they happen to be, on the devices they already own.

LEVERAGE AI FOR LEARNING
Now when you play Full Code, you’re never on your own. Our new AI Tutor can now provide step-by-step guidance and feedback through each case, allowing you to learn as you go. 

LEARN FROM TOP PHYSICIANS
Created by medical educators from some of the top hospitals in the U.S. and peer-reviewed by licensed medical professionals, our simulations are designed in accordance with industry-standard medical best practices, setting the bar high for our learners worldwide.

IMPROVE YOUR CONFIDENCE
Full Code's infinitely repeatable cases measure skills in both diagnosis and management, allowing students and medical professionals to learn from their mistakes in a risk-free environment, so they can face complex real world cases without fear.

EARN CME CREDIT
Complete your continuing medical education (CME) requirements with flexible and enjoyable simulation challenges accredited through the ACCME. With our PRO+CME subscription, you can earn up to 100 CME credits. Subscribe to Full Code Pro+CME today to get started.


FEATURED GOOGLE PLAY REVIEWS

★★★★★
“Hands down the best medical sim app I've ever played.” 
—Huw Gyver

★★★★★
“This is not a game! It is the most realistic portrayal of an ER rotation that I have ever seen.” 
—Caroline K

★★★★★
This game is one of the most detailed, life-like games I have played in a long time […] Obsessed to the point I have all of my family and friends trying to beat each others’ scores. 
—Anna Douglas

★★★★★
“A great app for medical and nursing students — really engaging, fun, and educational. I love this app.” 
—Bodhi Watts

★★★★★
“Absolutely the best learning simulation app I've ever come across. Download now! You won't be sorry!” 
—Rya K


FOLLOW FULL CODE

Facebook: facebook.com/fullcodemedical
Twitter: @fullcodemedical
Instagram: @fullcodemedical
TikTok: @fullcodemedical
Website: fullcodemedical.com
Play on desktop: app.fullcodemedical.com",Medical,4.532787,"1,000,000+",Full Code Medical Inc.
epic.mychart.android,MyChart,"MyChart puts your health information in the palm of your hand and helps you conveniently manage care for yourself and your family members. With MyChart you can:

•	Communicate with your care team.
•	Review test results, medications, immunization history, and other health information.
•	Connect your account to Google Fit to pull health-related data from your personal devices right into MyChart.
•	View your After Visit Summary® for past visits and hospital stays, along with any clinical notes your provider has recorded and shared with you.
•	Schedule and manage appointments, including in-person visits and video visits.
•	Get price estimates for the cost of care.
•	View and pay your medical bills.
•	Securely share your medical record from anywhere with anyone who has Internet access.
•	Connect your accounts from other healthcare organizations so you can see all your health information in one place, even if you've been seen at multiple healthcare organizations.
•	Receive push notifications when new information is available in MyChart. You can check whether push notifications are enabled under the Account Settings within the app.

Note that what you can see and do within the MyChart app depends on which features your healthcare organization has enabled and whether they’re using the latest version of Epic software. If you have questions about what’s available, contact your healthcare organization.

To access MyChart, you must create an account with your healthcare organization. To sign up for an account, download the app and search for your healthcare organization or go to your healthcare organization’s MyChart website. After you’ve signed up, turn on fingerprint authentication or set up a four-digit passcode to quickly log in without needing to use your MyChart username and password each time. 
  
For more information about MyChart’s features or to find a healthcare organization that offers MyChart, visit www.mychart.com.

Have feedback about the app? Email us at mychartsupport@epic.com.",Medical,4.5861335,"10,000,000+",Epic Systems Corporation
org.iggymedia.periodtracker,Flo Period & Pregnancy Tracker,"Welcome to Flo! The world’s leading period, pregnancy, and cycle tracker. Join over 420 million members who use Flo as their go-to pregnancy & ovulation tracker & cycle calendar. With seven million five-star ratings, we're paving the way to better female healthcare by empowering people with periods to harness their body's signals.

<b>Flo for Partners</b>
Link your Flo account with your partner so they can see updates on your cycle and pregnancy. Period and fertile days predictions, we'll provide them with insights and actions they can take to support you better. Use Flo for Partners to maximize your connection when tracking your period, ovulation, or pregnancy.

<b>There's more to tracking your period:</b>
- <b>Menstrual and Period Tracker</b>: Understand symptoms like vaginal discharge and mood swings by tracking your period with Flo's ovulation and period calendar, developed in collaboration with over 100 health experts.
- <b>Ovulation & Fertility Window Tracker</b>: Understand your fertile cycle and benefit from expert insights, tailored content, and information about conception and fertility.
- <b>Women's Health Tracker</b>: This is a calendar for your cycle, ovulation, weight, water intake, physical activity, and mood. Track your symptoms to prepare for your period.
- <b>Pregnancy Tracker App</b>: Receive expert information for a healthy pregnancy and birth with Flo's pregnancy calendar.
- <b>New! Flo supports perimenopause:</b>* Know what might be perimenopause and how to tune in to your body’s changes. Get clarity on common perimenopause symptoms and what can help.

<b>How to maximize your use of Flo’s menstrual, period, and ovulation tracker and calendar:</b> 
- Anonymous Mode: Enjoy Flo while maintaining your privacy and protecting your identity. Your name, email address, and technical identifiers will not be connected to your health data in your new Flo account.
- Reminders: Personalize Flo's menstrual and period tracker with scheduled reminders to track your cycle's start and end date. Receive notifications about ovulation, birth control pills, sleep, water intake, and more.
- Secret Chats: Safely discuss intimate topics from fertility to birth control in our supportive global community.
- Content Library: Explore thousands of articles and videos on women's health, periods, ovulation, birth control, fertility, and pregnancy.
- Health Assistant: Chat with our virtual assistant about late periods, irregular cycles, PMS, etc.
- Check if symptoms match those common of PCOS, endometriosis, or perimenopause with our Symptom Checker tool.**
- Wear OS complications & tiles: Set up a tile and complication on your watch for insights about your cycle. Flo period tracker is compatible with Wear OS 3. 
- Use your tax-free funds on a subscription: Flo Premium memberships can be purchased using FSA/HSA dollars.***

Please note: Flo is not a diagnostic tool and should not be used as a method of contraception or to facilitate conception. Predictions and insights provided by the app are intended for informational purposes only and are not a substitute for professional medical advice, diagnosis, or treatment. Always consult a qualified healthcare provider for any health concerns or decisions.

Contact <b>support@flo.health</b> for assistance.

To access our accessibility statement, visit: https://flo.health/accessibility-statement-android?current-location=auto-detect

Notice of Access Permission: 
Flo may request permission for: 
- In-app notifications or reminders.
- Uploading photos to specific forum discussions.
- Uploading audio recordings to closed group chats.
Content sharing is entirely optional. Flo does not automatically access your content. You can select what you want to share.

*Available for new users only.
**Not available in the UK or EU/EEA.
***As of October 12, 2024. Following the SIGIS Eligible Product List. US only. Some FSA/HSA plan providers have different eligibility rules. Contact your provider in advance.",Health & Fitness,4.727308,"100,000,000+",Flo Health Inc.
com.ecw.healow,healow,"Healow App is a convenient mobile tool that helps patients access health information and communicate with their providers to stay engaged, motivated, and make healthy choices. With the healow app, patients can easily:

 Message the care team – Contact care team through quick, secure direct messages.
View test results – Access labs and other test results as soon as they become available.
Self-schedule appointments – Book appointments with the care team and view upcoming visits beyond regular office hours.
Check in before the visit – Easily check in for appointments and save time by completing any necessary documentation before arrival.
Attend virtual visits –Initiate and attend telehealth visits with members of the care team.
View medications, set medication reminders,  and request for refills without calling the doctor.
View medical history including allergies, immunizations, vitals, visit summary, and other health information.
Monitor vitals and meet health goals using weight management, activity, fitness, and sleeping tracking tools to track readings and watch for trend changes to share with the doctor.
Manage and view multiple family member’s health records under one account.
 

Please note that patients must have an existing healow Patient Portal account with their doctor’s office. Once downloaded and launched, the patient must log in using the username and password used to access the provider’s healow Patient Portal website to begin using the app. It will ask the user to create a pin and enable Face ID or Touch ID. Enabling either of these features will save the user from having to enter their login information every time they want to use the app.",Health & Fitness,4.5924444,"5,000,000+",eClinicalWorks LLC
gov.va.mobileapp,VA: Health and Benefits,"With the official VA: Health & Benefits app, you can manage your VA health care, benefits, and payments from your mobile phone or tablet. 

Features include:

Biometric sign-in
- Use your phone’s built-in security features—like fingerprint and face recognition—to securely access your information.

Health care tools
- Refill and track your VA prescriptions.
- Send and receive secure messages from your VA health care team.
- Review appointments and add them to your calendar.
- Get your records for VA vaccines, such as COVID-19.

Benefits tools
- Check your disability rating.
- Review your claim or appeal status.
- Submit evidence for your claim or appeal.
- Download common VA letters.

Payments tools
- Review payments we’ve sent you.
- Update your direct deposit information.

Facility locator
- Find VA facilities and services near you.

Veterans Crisis Line
- Get quick access to the VA Crisis Line.

Proof of Veteran status
- Show proof of your Veteran status.

Need help with this app? Call us at 800-698-2411 (TTY: 711). We’re here 24/7.",Tools,4.7039604,"1,000,000+",US Department of Veterans Affairs (VA)
com.teladoc.members,Teladoc Health,"Teladoc Health connects you with complete care, at your convenience and an affordable cost. You’ll find what you need to get well—like 24/7 care—alongside primary care, therapy and programs proven to keep you well.

EXPERIENCE AND EXCELLENCE
Teladoc Health has been modernizing healthcare since 2002. More than 50 million visits later, we are the leader in telemedicine. With our app, top-quality doctors and data-driven programs are just a tap away.

SEAMLESS CARE FOR ALL OF YOU
Our app brings together doctors, therapists, dietitians, nurses, coaches and self-guided programs that tend to every aspect of your well-being. If you need in-person care, we can refer you to in-network providers and care sites. But don’t underestimate us. The

With a suite of connected devices, in-home lab services and prescription delivery (in some locations), we cover most common health needs. And with insurance, your copay for care could be as low as $0.

PERSONAL AND PERSONALIZED
Teladoc Health providers and coaches will get to know you. Our video and phone visits have no time limit. Instead of 15 minutes, you might spend an hour talking about your health and planning next steps together.

The app integrates with our devices and Apple Health to put data in your hands. Analyze it during appointments with your care team, or on your own on the go. Then apply what you learn about your health and your habits to find the right path to your goals. We’ll send you notifications and nudges to keep you on the right track.

OUR SERVICES INCLUDE:

24/7 CARE
On-demand appointments any time of day with board-certified physicians for:
- Colds and flu
- Pink eye
- Sore throats
- Sinus infections
- Rashes 

PRIMARY CARE
Access within a week to board-certified primary care physicians and nurses who become your dedicated virtual care team for:
- Routine checkups and preventive care
- Goal-setting and a personalized care plan
- Lab orders (bloodwork)
- Checking blood pressure and other vitals
- Managing chronic conditions 

CONDITION MANAGEMENT
Depending on your coverage, you may be eligible for:
- Programs to help manage conditions like diabetes and high blood pressure
- Connected devices like a blood glucose meter or blood pressure monitor
- Expert health coaching
- Health data, trends and actionable insights

MENTAL HEALTH
Licensed therapists, psychiatrists and self-guided content for help with:
- Anxiety and stress
- Depression or not feeling yourself
- Relationship conflicts
- Trauma 

NUTRITION
Registered dietitians who can help with:
- Weight loss
- Diabetes
- High blood pressure
- Digestive issues
- Food allergies 

DERMATOLOGY
Dermatologists who diagnose and treat common skin conditions, such as:
- Acne
- Psoriasis
- Eczema
- Rosacea
- Skin infections

Your coverage might also provide access to:
- Specialists for a second opinion on surgery, a diagnosis or treatment plan
- Therapy and coaching to help with back and joint pain
- Imaging and sexual health testing referrals 


CHECK YOUR COVERAGE
Sign up to see which telemedicine services are covered by your health insurance or employer. Or, you can choose to pay flat fees. 

SECURE AND CONFIDENTIAL
We take your privacy seriously. Your health information is secure, private and compliant with federal and state laws, including the U.S. Health Insurance Portability and Accountability Act of 1996 (HIPAA). 

AWARDS AND RECOGNITION
- Company of the Year—Healthcare Dive, 2020
- World’s Most Innovative Companies—Fast Company, 2021
- Largest Virtual Care Company—Forbes, 2020",Medical,4.4017553,"5,000,000+","Teladoc, Inc."
com.popularapp.periodcalendar,Period Calendar Period Tracker,"★The rating 4.9★ period calendar! 

Popular in 63 Countries. 
Trusted by 300 million Users. 

Keep track of your menstrual cycles with Period Calendar. It tracks your periods, blood flow, cycles, ovulation and the chance of conception. Period tracker helps both women looking to <b>conceive</b> and those trying to <b>birth control</b>. 

Period Tracker is useful, whether you have <b>irregular periods</b> or regular periods. It can track your <b>chance of pregnancy</b> every day. You can also record your menstrual flow, cervical mucus, BMI, sexual activity, weight, temperature, symptoms or moods. Think of it as your personal period diary. 

⏰PILL REMINDER & PERIOD REMINDER: 
- Customize the notification text to make it discreet, to avoid never being embarrassed in public. 
- Notifications for period, fertility and ovulation tracker 
- <b>Contraceptive pills</b> reminder (includes pills, ring, patch & injections)

📝PERIOD & FERTILITY TRACKER: 
- Helps predict menstruation, cycles and ovulation 
- Ovulation calculator and tracker 
- Period calculator, fertility calculator and spot on prediction 

👶🏼TRYING TO GET PREGNANT & BIRTH CONTROL APP: 
- Fertile symptoms tracker, like cervical firmness, cervical mucus, cervical opening 
- Check your odds of conceiving each day for better family planning 
- It is the birth control app, spot on tracking the period & fertile days 

😊TRACK SYMPTOMS & MOODS: 
- Intimacy tracker 
- Body temperature chart helps you determine ovulation date 
- Predict your ovulation date according to the ovulation test result 

📲NEVER LOSE DATA: 
- Utilizes <b>Google account</b> data backup and Restoration 
- Backup and restore your period data to phone or email 

🔐MULTI ACCOUNT & SECURITY: 
- Multi accounts to track & security protections 
- View or search all notes through your timeline 

SUPPORT FOR WEAR OS COMPLICATIONS & TILES: 
Period & ovulation prediction, water drinking reminders, and pill reminders are all available by setting up complications and tiles on your wear OS devices.

No account creation and real-name registration are required. You can use all of its features anonymously. 

We place the utmost importance on your data security. Your anonymous data can be synced on your own in an encrypted manner, so you can back up and restore your data with confidence. 

We respect your right to have full control of your data. You can delete all data with just one click whenever you want. We don’t collect or store any of your data in any way. 

Ovulation app 
It is the reliable ovulation app for ovulation and period tracker, you can check your ovulation calendar, period calendar, it will be more accurate for your usage. 

Pregnancy apps 
Looking for pregnancy apps? No satisfied pregnancy apps? Try the best pregnancy app! It helps you easily get pregnant or birth control.",Health & Fitness,4.8668127,"100,000,000+",Simple Design Ltd.
com.goodrx,GoodRx: Prescription Coupons,"Get the medicine and healthcare you need with GoodRx. Digital coupons and discounts can be found for prescription drugs, including GLP-1 medications like Ozempic, Mounjaro, Wegovy, and more. Access reliable telehealth services and perks when buying prescription drugs. Keep track of your medications with your personal drug guide. Save money on your meds with free digital coupons that can help you save more than health insurance or Medicare. GoodRx is NOT insurance. Meds reminder, medication tracker, digital coupons, and more - enjoy an Rx app that brings you complete virtual care.

Our free prescription discount finder has everything you need. Virtual care with a personal medication tracker, rewards on medicine, and custom meds reminder - all with GoodRX. Healthcare benefits like Rx discounts on medicine, senior care, or triage services. Doctors care about our prescription drug savings app that is trusted by millions.

Enjoy everything from prescription medication reminders to Rx savings coupons for a complete mobile healthcare app without insurance. Get to know your medication list with our drug guide and pill tracker. Price check prescriptions, save money with mobile Rx coupons, & find a doctor on our personal healthcare app.

Become your own advocate for your healthcare, and download GoodRX today to save money on medications!

GoodRx Features:

Digital Coupons at Over 70,000 Pharmacy Locations
- Safeway Pharmacy
- CVS Pharmacy
- Walmart Pharmacy
- HEB Pharmacy
- Walgreens Pharmacy
- Rite Aid Pharmacy
- Target Pharmacy
- Vons Pharmacy
- Kroger Pharmacy
- & more

Medication App with Prescriptions Up To 80% Off
- Digital coupons let you save more on your prescription dugs
- Rx savings solutions: Find savings on your medicine when you look up your medication
- Check Rx pharmacy prices & redeem digital coupons to claim your prescription discount
- Medication discount finder to use at local pharmacies like Safeway, CVS, HEB, or Walmart Pharmacy
- Healthcare app with discounted meds & patient assistance programs
- Visit your pharmacy or Rx discount location to save on drugs
- Our health app offers discounts to save on pet medications


Medication Tracker & Free Pill Reminder
- Meds reminder: Make refills easy thanks to alerts with our medication reminder
- Medication tracker: Manage medications with our free drug guide and pill tracker

My Health Care Tool
- Medications list and drug guide for your prescriptions, including GLP-1 medications like Ozempic, Mounjaro, Rybelsus, Victoza, Saxenda, Zepbound, & Wegovy
- Pill tracker to help with daily prescriptions and medications
- Virtual care with online medical professionals
- No Medicare, Medicaid, or health insurance needed – easily find doctors care
- Find telehealth care,  understand your prescription list, & medications
- Medication delivery & pickup available anywhere

GoodRx Care services include

- Refills on birth control medication
- Urinary Tract Infection
- Erectile Dysfunction
- Short term medication refills
- Triage services

Prescription Discount Finder Trusted by Millions
- Digital coupons made easy for everyone
- Our medication app shows the Rx pharmacy with savings on drugs, including prescriptions like Ozempic, Tretinoin, and Vyvanse
- Healthcare professionals across the country use our coupons app to help patients save money
- Featured by: The New York Times, PBS, ABC News, Forbes, CNN, Good Morning America, The LA Times, & more!

Upgrade to GoodRx Gold to earn rewards for additional discounts, benefits, and offers. Get exclusive pricing and reliable mobile health care with GoodRx Gold.

By downloading GoodRx, you agree to be bound by our Terms Of Use. Read more at http://www.goodrx.com/terms-of-use

Please visit https://www.goodrx.com/consumer-health-data-privacy-notice to read our Consumer Health Data Privacy Notice for additional information about our handling of consumer health data",Medical,4.832192,"10,000,000+",GoodRx
com.cvs.launchers.cvs,CVS Health,"Staying healthy. Saving time. Spending less. The CVS Health® app makes them all easier. Here’s how:

Checking out. Easier.
• Save with ExtraCare® and pick up prescriptions with a single scan (just tap “In-Store”).

Saving money. Easier.
• Get app-only deals and access all of your offers and rewards when you link your ExtraCare® card.
• Make sure you never miss a deal by opting in to notifications. Get prescription and order updates too.
• Plan out your shopping and saving with the weekly ad for your local store.

Getting prescriptions. Easier.
• Scan your barcode for faster prescription pickup once you attach a payment and signature. 
• Pay for your medications and have them delivered.
• Order refills, check their status and see your prescription history.
• Check drug interactions and information.

Caring for your health. Easier.
• Schedule vaccines for you and your family at a nearby CVS Pharmacy® or MinuteClinic®.
• Video chat with a health care provider 24 hours a day, 7 days a week.
• Find a nearby MinuteClinic® for general care and clinical services.
• View wait times and schedule a clinic visit (restrictions apply).
• Check available health care services and insurance coverage.

Printing photos. Easier.
• Order prints and more from your device and online albums for same-day pickup (select stores and products).
To access all of these great features, please be sure your device is running the latest OS. We support Android versions 10.0 and higher.

Privacy Policy:
https://www.cvs.com/retail/help/privacy_policy

WA Consumer Health Privacy Policy: https://www.cvs.com/retail/help/WA_consumer_health_privacy_policy

Please note: Continued use of GPS running in background can decrease battery life.",Shopping,3.4374511,"10,000,000+",CVS Pharmacy
com.aranoah.healthkart.plus,TATA 1mg Online Healthcare App,"<b>About Tata 1mg</b>

We are <b>India's leading</b>, & <b>most-trusted online pharmacy & healthcare</b> app. From <b>doctor consultations on chat to online medicine delivery & lab tests at home:</b> we have it all covered for you. We are active in 1000+ cities including Delhi, Gurgaon, Noida, Mumbai, Pune, Ahmedabad, Lucknow, Bangalore, Kolkata & many more. 

At Tata 1mg you can:
- Order Medicines Online
- Book Lab Tests 
- Consult Doctors Online
- Read Health Tips
- View Medicine Information
- Set Medicine Reminders

Get medicines & health products <b>delivered at home</b> within same day or next day delivery. Download the Tata 1mg app now.
 
<b>Your Favourite Online Pharmacy:</b>
2 lakh+ <b>allopathy medicines</b> available at the best prices on our <b>medicine app.</b> 
It’s your one-stop destination for Homeopathy & Ayurvedic medicines, health supplements, personal hygiene & more. Choose from a variety of brands like <b>Dabur, Himalaya, SBL Homeopathy, Organic India, Accu-Chek, OneTouch & more.</b>

Don't want to go through the hassle of adding each medicine separately? 
Simply upload your list of medicines on our app & we will place your order for you.

Now, avail <b>best discounts</b> & savings on medical bills. Check all our offers here.

All products sold on our <b>pharmacy app</b> come with 100% genuine guarantee.

<b>Book Lab Tests & Health Check-ups:</b>
Book health check-ups & <b>lab tests from the comfort of your home</b> at best prices. At Tata 1mg, you can make <b>bookings for over 2,000 tests</b>. Get tested by 120+ top verified labs such as <b>Dr Lal Path Labs, SRL Diagnostics, Thyrocare</b> & more. Free home sample-collection & access report online.

Get best discounts on diagnostic services like <b>blood tests, thyroid tests, diabetes tests</b> & more.

<b>Consult India’s Best Doctors Online for Free:</b>
Our health app allows you to consult doctors online from the comfort of your home. Chat privately with our registered medical specialists. Find doctors & book appointments from all specialties like <b>General Physicians, Gynaecologists, Dermatologists, Urologists, Gastroenterologists, Pediatricians & Neurologists.</b>

View Medicine Information:
Besides being an <b>online pharmacy app,</b> we provide <b>accurate, authoritative & trustworthy information on medicines</b> to help people use their medicines safely. 
We provide other medicine information like treatment uses, side effects, usage recommendations, safety warnings, expert advice & answers to patient FAQs.

<b>Read Regular Health Tips:</b>
Get personal & useful health tips written by expert doctors. Read about Ayurveda & its benefits, maintaining personal hygiene, early warning symptoms of various diseases & several other relevant topics.

<b>Awards & Recognition:</b>
At Tata 1mg, our goal is to make healthcare<b> understandable, accessible & affordable</b>. We set out on our journey in 2015, & have come a long way since then. We have been conferred with prestigious titles like:
BML Munjal Award for 'Business Excellence through Learning & Development'
Best Online Pharmacy in India Award 
Top 50 venture in The Smart CEO-Startup50 India. 
India's only ISO/IEC 27001 & LegitScript certified online healthcare platform
VC Circle Award for the ""Most promising Healthcare startup”
Ranked Top App in Medical Category in India - android & iOS
Recognized by the Government of India - Ministry of Health & Family Welfare as a m-health initiative that consumers can use

We have been selected as the <b>only company from across the globe for SD#3 ""Health & Well Being for all"" by Unreasonable group, US State Department.</b>",Medical,4.7007875,"10,000,000+",Tata 1MG Healthcare Solutions Private Limited
